PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,AGE,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,MARITALSTATUS_Single,EDUCATION_GRADUATE,EDUCATION_OTHERS,EDUCATION_POST-GRADUATE,EDUCATION_PROFESSIONAL,EDUCATION_SSC,EDUCATION_UNDER GRADUATE,GENDER_M,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,Approved_Flag_P2,Approved_Flag_P3,Approved_Flag_P4
15851,7,2,5,1,2,0.143,0.286,0.714,0.286,4,2,0.571,0.286,0,1,1,4,0,0,1,1,6,0,40,6,37,26,16,5,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,1,0,0,4,3,4,60,6,3,2,28,18000,29,0.714,0.25,0.711,0.808,1,0.899,1,0.75,0.0,0.75,0.0,12.229,0,0,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
17810,10,8,2,0,6,0.0,0.6,0.2,0.8,2,6,0.2,0.6,0,0,1,6,0,0,2,0,10,1,43,6,69,6,4,3,50,18,2,3,1,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,2,0,1,3,1,3,106,4,1,0,40,45000,40,0.2,0.0,0.931,0.891,1,0.949,1,0.333,0.0,0.333,0.0,2.947,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
4630,9,3,6,2,1,0.222,0.111,0.667,0.333,3,1,0.333,0.111,1,0,1,5,0,0,1,1,8,2,40,2,52,18,18,1,8,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,2,0,0,94,3,2,0,42,20000,66,0.667,0.667,0.647,1.0,1,0.752,1,0.0,0.0,0.0,0.0,7.908,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
28696,18,10,8,3,1,0.167,0.056,0.444,0.556,3,1,0.167,0.056,3,1,2,7,0,0,2,5,13,6,80,3,38,23,7,5,25,25,0,3,3,0,25,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,48,14,1,3,6,2,2,27,12,10,2,33,40000,224,0.444,1.0,0.938,0.419,1,1.0,1,1.0,0.333,0.333,0.071,41.707,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
25268,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,0,1,0,0,0,1,0,2,0,32,11,88,5,1,4,3,3,4,4,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,327,1,0,0,29,25000,78,1.0,0.0,0.979,0.015,1,0.985,1,0.0,0.0,0.0,0.0,20.117,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False
21613,5,1,4,0,1,0.0,0.2,0.8,0.2,1,1,0.2,0.2,1,1,1,1,0,0,1,2,3,1,47,7,34,15,7,6,11,11,0,2,2,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,20,4,1,3,6,2,4,12,10,3,3,28,30000,134,0.8,0.0,0.669,0.962,1,0.725,1,0.5,0.333,0.333,0.25,6.43,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
40742,5,3,2,2,1,0.4,0.2,0.4,0.6,3,2,0.6,0.4,0,1,1,1,0,0,1,2,3,1,95,3,50,35,5,21,240,150,1,7,6,150,150,21,17,0,0,0,0,0,0,0,0,0,0,0,0,150,41,15,10,15,13,9,13,1,33,21,13,27,50000,77,0.4,0.667,1.0,1.0,1,1.0,1,0.692,0.667,0.692,0.667,0.676,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
40140,15,6,9,2,2,0.133,0.133,0.6,0.4,7,4,0.467,0.267,1,2,2,10,0,0,1,2,13,0,39,1,67,5,1,4,33,3,4,4,0,33,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,2,0,2,4,2,2,20,12,5,2,30,45000,66,0.6,0.286,0.566,0.804,1,0.381,1,1.0,0.0,0.5,0.0,9.538,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
51080,19,13,6,0,1,0.0,0.053,0.316,0.684,4,3,0.211,0.158,0,2,1,5,7,0,3,9,10,1,63,8,22,33,1,7,295,295,1,3,2,6,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,21,1,0,0,11,0,3,218,6,0,0,40,15000,183,0.316,0.0,0.713,1.0,1,0.768,1,0.0,0.0,0.0,0.0,29.221,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
22494,5,0,5,1,0,0.2,0.0,1.0,0.0,3,0,0.6,0.0,3,0,1,2,0,0,1,0,5,1,82,2,36,35,4,11,502,181,2,6,4,212,273,10,9,33,3,11,0,0,0,0,0,0,0,0,0,181,24,8,1,4,7,0,1,69,8,2,1,27,40000,103,1.0,0.333,0.703,1.0,1,0.894,1,0.0,0.25,0.0,0.125,19.858,0,0,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
